year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,2,32575,33851,"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK",10800,13851,BUR,OKC,1187,295.35,"33.79226917070069, -118.204909485967","35.47075685159531, -97.57825017993011",202411080013851BUROKC,Post-Pandemic
2025,2,30397,32457,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",10397,14831,ATL,SJC,2139,428.08,"33.78625599383559, -84.39125241191016","37.71088023891693, -122.08942035984728",202411039714831ATLSJC,Post-Pandemic
2025,2,32467,34057,"Miami, FL (Metropolitan Area)","Portland, OR",11697,14057,FLL,PDX,2700,296.11,"25.818657926992138, -80.30089992008288","45.51875574347582, -122.68199377591797",202411169714057FLLPDX,Post-Pandemic
2025,2,30198,32457,"Pittsburgh, PA","San Francisco, CA (Metropolitan Area)",14122,13796,PIT,OAK,2254,273.6,"40.428308691100916, -80.00258516640433","37.71088023891693, -122.08942035984728",202411412213796PITOAK,Post-Pandemic
2025,2,31453,33851,"Houston, TX","Oklahoma City, OK",12191,13851,HOU,OKC,419,147.36,"29.75402924471362, -95.25854681876497","35.47075685159531, -97.57825017993011",202411219113851HOUOKC,Post-Pandemic
2025,2,31453,33192,"Houston, TX","Sacramento, CA",12266,14893,IAH,SMF,1624,312.91,"29.75402924471362, -95.25854681876497","38.5749272937173, -121.5125250600104",202411226614893IAHSMF,Post-Pandemic
2025,2,30721,32467,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",10721,13303,BOS,MIA,1283,197.57,"42.354802625389624, -71.11763566666443","25.818657926992138, -80.30089992008288",202411072113303BOSMIA,Post-Pandemic
2025,2,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",13296,10821,MHT,BWI,418,180.96,"42.354802625389624, -71.11763566666443","39.06854619558678, -77.28209870558013",202411329610821MHTBWI,Post-Pandemic
2025,2,31703,30852,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",12953,11278,LGA,DCA,234,165.53,"40.722551776084316, -73.97924863938653","39.06854619558678, -77.28209870558013",202411295311278LGADCA,Post-Pandemic
2025,2,35096,33195,"Syracuse, NY","Tampa, FL (Metropolitan Area)",15096,15304,SYR,TPA,1111,181.28,"43.04945833326001, -76.14276355050048","28.042586526893363, -82.48802351156911",202411509615304SYRTPA,Post-Pandemic
2025,2,31066,30559,"Columbus, OH","Seattle, WA",11066,14747,CMH,SEA,2016,266.15,"39.97936225013163, -83.00459328425883","47.60490210531131, -122.30959975376733",202411106614747CMHSEA,Post-Pandemic
2025,2,30721,31066,"Boston, MA (Metropolitan Area)","Columbus, OH",14307,11066,PVD,CMH,640,209.58,"42.354802625389624, -71.11763566666443","39.97936225013163, -83.00459328425883",202411430711066PVDCMH,Post-Pandemic
2025,2,31995,31703,"Greensboro/High Point, NC","New York City, NY (Metropolitan Area)",11995,12197,GSO,HPN,481,200.28,"36.03421614839542, -79.81335809555009","40.722551776084316, -73.97924863938653",202411199512197GSOHPN,Post-Pandemic
